Fecha,Ingresos ESAL
2018-01,35868000
2018-02,57141000
2018-03,706915000
2018-04,204861000
2018-05,66850000
2018-06,32788000
2018-07,25834000
2018-08,32457000
2018-09,16521000
2018-10,27017000
2018-11,23096000
2018-12,15137000
2019-01,73446700
2019-02,114723800
2019-03,671293600
2019-04,303632600
2019-05,97991800
2019-06,66947000
2019-07,58279200
2019-08,49565800
2019-09,53901000
2019-10,47458600
2019-11,42129800
2019-12,34866600
2020-01,88826200
2020-02,169101300
2020-03,251515700
2020-04,32981900
2020-05,60724100
2020-06,174390500
2020-07,387849100
2020-08,91404700
2020-09,88042000
2020-10,70946700
2020-11,53626700
2020-12,48284700
2021-01,68028500
2021-02,116065200
2021-03,851198050
2021-04,175799000
2021-05,84610650
2021-06,107504850
2021-07,70475150
2021-08,52862750
2021-09,53625350
2021-10,42579500
2021-11,41697600
2021-12,41064400
2022-01,61773050
2022-02,137119000
2022-03,931252550
2022-04,225927600
2022-05,87899500
2022-06,74037500
2022-07,69632400
2022-08,59903200
2022-09,64610700
2022-10,52257500
2022-11,38521250
2022-12,40821000
2023-01,75928900
2023-02,113871500
2023-03,1120189200
2023-04,225995000
2023-05,116357800
2023-06,118942400
2023-07,73324200
2023-08,87397400
2023-09,56953600
2023-10,59778200
2023-11,51543600
2023-12,46288400
2024-01,117471200
2024-02,184494700
2024-03,960501400
2024-04,448799200
2024-05,162589300
2024-06,87060000
2024-07,106910130
2024-08,85634600
2024-09,70211200
2024-10,80151000
2024-11,71138000
2024-12,51011000
2025-01,103268100
2025-02,256270900
2025-03,1442692400
2025-04,289725800
2025-05,159515900
2025-06,94045500
2025-07,112802400
2025-08,55201000
2025-09,40229500
