Fecha,Ingresos Matrículas
2018-01,143062000
2018-02,118430000
2018-03,153157000
2018-04,155416000
2018-05,170378000
2018-06,149006000
2018-07,138092000
2018-08,128818000
2018-09,128003000
2018-10,141043000
2018-11,118004000
2018-12,71148000
2019-01,157417000
2019-02,144452000
2019-03,140114000
2019-04,154204000
2019-05,144403000
2019-06,132875000
2019-07,150675000
2019-08,151467000
2019-09,142657000
2019-10,144784000
2019-11,136314000
2019-12,86305000
2020-01,110066000
2020-02,89302000
2020-03,73793000
2020-04,6929000
2020-05,26976000
2020-06,71768000
2020-07,84746000
2020-08,88417000
2020-09,115396000
2020-10,121363000
2020-11,98552000
2020-12,58537000
2021-01,107337000
2021-02,122449000
2021-03,137461000
2021-04,77168000
2021-05,84227000
2021-06,101959000
2021-07,102960000
2021-08,116928000
2021-09,104870000
2021-10,96180000
2021-11,94634000
2021-12,61124000
2022-01,102107000
2022-02,128134000
2022-03,113022000
2022-04,124304000
2022-05,112965000
2022-06,107033000
2022-07,109082000
2022-08,127064000
2022-09,114411000
2022-10,107544000
2022-11,97031000
2022-12,62619000
2023-01,117602000
2023-02,101836000
2023-03,125031000
2023-04,93426000
2023-05,106387000
2023-06,87227000
2023-07,84755000
2023-08,96217000
2023-09,94275000
2023-10,86433000
2023-11,77278000
2023-12,41939000
2024-01,108961000
2024-02,97627000
2024-03,99762000
2024-04,122102000
2024-05,98847000
2024-06,87764000
2024-07,97712000
2024-08,95114000
2024-09,97306000
2024-10,107129000
2024-11,90280000
2024-12,52908000
2025-01,142414200
2025-02,148154300
2025-03,129875800
2025-04,161685800
2025-05,148282000
2025-06,137124600
2025-07,182185000
2025-08,125855900
2025-09,78034500
