Fecha,MMM,MMM-lo-90,MMM-hi-90,MMM-lo-95,MMM-hi-95
2025-09-30,88795260.0,58217508.0,119373016.0,52359620.0,125230904.0
2025-10-31,85981360.0,55403610.0,116559120.0,49545720.0,122417010.0
2025-11-30,71241310.0,40663556.0,101819064.0,34805668.0,107676950.0
2025-12-31,62696090.0,32118332.0,93273840.0,26260444.0,99131730.0
2026-01-31,131496930.0,100919176.0,162074690.0,95061290.0,167932580.0
2026-02-28,250871840.0,220294080.0,281449600.0,214436200.0,287307500.0
2026-03-31,1654147500.0,1623504000.0,1684791000.0,1617633500.0,1690661500.0
2026-04-30,462055800.0,431370720.0,492740900.0,425492300.0,498619360.0
2026-05-31,190919570.0,159875870.0,221963250.0,153928740.0,227910380.0
2026-06-30,145945940.0,104805710.0,187086160.0,96924340.0,194967540.0
2026-07-31,130376210.0,89000770.0,171751650.0,81074340.0,179678080.0
2026-08-31,113829980.0,72325290.0,155334670.0,64374092.0,163285870.0
2026-09-30,103446380.0,61941696.0,144951070.0,53990496.0,152902270.0
2026-10-31,100168200.0,58663508.0,141672880.0,50712308.0,149624080.0
2026-11-30,82996050.0,41491360.0,124500740.0,33540162.0,132451940.0
