Fecha,ESM,ESM-lo-90,ESM-hi-90,ESM-lo-95,ESM-hi-95
2025-09-30,697707260.0,486589300.0,908825300.0,446144700.0,949269900.0
2025-10-31,622387200.0,411269200.0,833505150.0,370824580.0,873949760.0
2025-11-30,495833860.0,284715900.0,706951900.0,244271280.0,747396500.0
2025-12-31,449828400.0,238710450.0,660946400.0,198265840.0,701391040.0
2026-01-31,1206362000.0,995244000.0,1417480000.0,954799400.0,1457924600.0
2026-02-28,2680307200.0,2469189400.0,2891425300.0,2428744700.0,2931870000.0
2026-03-31,34198184000.0,29383424000.0,39012946000.0,28461044000.0,39935330000.0
2026-04-30,7832308700.0,7619877000.0,8044740000.0,7579181000.0,8085436400.0
2026-05-31,2640465700.0,2420099800.0,2860831700.0,2377883400.0,2903048000.0
2026-06-30,1566257300.0,951631360.0,2180883200.0,833885300.0,2298629000.0
2026-07-31,1294429700.0,676239300.0,1912620200.0,557810370.0,2031049000.0
2026-08-31,1006734140.0,387443300.0,1626025100.0,268803550.0,1744664800.0
2026-09-30,786783400.0,167492560.0,1406074400.0,48852836.0,1524714000.0
2026-10-31,701847230.0,82556340.0,1321138000.0,-36083388.0,1439777800.0
2026-11-30,559136900.0,-60154000.0,1178427800.0,-178793730.0,1297067500.0
