unique_id,Fecha,auto,auto-lo-95,auto-lo-90,auto-hi-90,auto-hi-95
1,2025-09-30,158607792.17432225,102625424.61321671,110065788.51797965,228558138.52006885,245128649.48646653
1,2025-10-31,142866176.04458374,91295985.58942613,98111193.0720278,208036857.14653936,223566722.30247498
1,2025-11-30,136228718.64339718,84215984.03494503,90986291.52977273,203967690.85977304,220365100.47215274
1,2025-12-31,86428626.95464505,53379899.72962233,57679889.35447838,129506274.03873861,139938583.53240576
1,2026-01-31,154788228.7268274,94515517.13137312,102316671.99676107,234169029.19933808,253496954.56975546
1,2026-02-28,150752470.00292122,91643759.86768124,99278671.12954158,228914297.03292203,247985321.03871307
1,2026-03-31,144084914.63187024,86937452.34275469,94293659.4573167,220168171.89994454,238797688.0507644
1,2026-04-30,168377184.64338207,101017672.39029208,109665680.51448676,258520953.6422514,280652638.66796577
1,2026-05-31,151909543.29028127,90550260.6051559,98404457.8659635,234506747.38835812,254847519.91258067
1,2026-06-30,141370436.8664132,83767838.22774708,91120926.49691004,219330522.50602666,238583218.12559962
1,2026-07-31,165297348.0823633,97349035.9672926,105998323.53201766,257770239.8737351,280672664.2084267
1,2026-08-31,139798640.66089684,81845641.73976815,89202411.57501525,219093403.2562473,238786812.7758653
1,2026-09-30,155529222.73525748,85514101.5505559,94146150.39173552,256933916.2991072,282869593.2720828
1,2026-10-31,153297702.97498176,84202982.54484883,92717575.1932619,253459882.75061756,279089707.1239594
1,2026-11-30,142272874.99372548,76619570.83147825,84635548.50078693,239161573.5649428,264182776.53239253
1,2026-12-31,98789983.47252423,52837447.15205911,58429938.25739106,167028429.6983164,184707274.11214978
